1,neutral,barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping 
1,neutral,her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin 
1,neutral,iya rep gatau aku masih kelas 4 sd ehh di block 
1,neutral,aku mohon tepatilah janjimu penantiancintaeps19
1,neutral,bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser 
1,neutral,aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila 
1,neutral,aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n 
1,neutral,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja 
1,neutral,kau dah tak streak dengan aku pun 
1,neutral,yg selama ini nunggun video dari aku nih retweet yg mau full 
1,neutral,tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga 
1,neutral,high 
1,neutral,nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss 
1,neutral,aku tambah lagi ia
1,neutral,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan 
1,neutral,lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak
1,neutral,20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si 
1,neutral,terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa 
1,neutral,cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g 
1,neutral,mana gampaang aku nanya dulu tauu 
1,neutral,makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih 
1,neutral,threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s 
1,neutral,makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya 
1,neutral,aku juga dong mbaknya link kalo jepang main 
1,neutral,hyung kamu kanibal kan ' ' 
1,neutral,jajanin aku kak 
1,neutral,ini tiga aku satu aja gapunya ' 
1,neutral,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee 
1,neutral,'aku di rumah aja' adalah anagram dari 'besok malam minggu'
1,neutral,jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k 
1,neutral,aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a 
1,neutral,kamu juga kan 
1,neutral,x de adab betul budak ni pinjam buku aku 
1,neutral,kenapa popular weh sorry aku blur x paham mksd hg 
1,neutral,broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d 
1,neutral,mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan 
1,neutral,ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb 
1,neutral,kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa 
1,neutral,karena aku kepo 11 13 20
